市町村,高校名,種別
札幌市中央区,札幌南高校,公立
札幌市中央区,札幌西高校,公立
札幌市中央区,札幌旭丘高校,公立
札幌市北区,札幌北高校,公立
札幌市北区,札幌新川高校,公立
札幌市東区,札幌東高校,公立
札幌市東区,札幌丘珠高校,公立
札幌市白石区,札幌白石高校,公立
札幌市白石区,札幌啓成高校,公立
札幌市厚別区,札幌厚別高校,公立
札幌市豊平区,札幌月寒高校,公立
札幌市豊平区,札幌平岸高校,公立
札幌市清田区,札幌清田高校,公立
札幌市南区,札幌藻岩高校,公立
札幌市西区,札幌手稲高校,公立
札幌市西区,札幌琴似工業高校,公立
札幌市手稲区,札幌稲雲高校,公立
旭川市,旭川東高校,公立
旭川市,旭川西高校,公立
旭川市,旭川北高校,公立
旭川市,旭川南高校,公立
旭川市,旭川商業高校,公立
旭川市,旭川工業高校,公立
函館市,函館中部高校,公立
函館市,函館西高校,公立
函館市,函館商業高校,公立
函館市,函館工業高校,公立
函館市,市立函館高校,公立
小樽市,小樽潮陵高校,公立
小樽市,小樽桜陽高校,公立
小樽市,小樽商業高校,公立
室蘭市,室蘭栄高校,公立
室蘭市,室蘭清水丘高校,公立
室蘭市,室蘭工業高校,公立
釧路市,釧路湖陵高校,公立
釧路市,釧路江南高校,公立
釧路市,釧路北陽高校,公立
釧路市,釧路商業高校,公立
釧路市,釧路工業高校,公立
帯広市,帯広柏葉高校,公立
帯広市,帯広三条高校,公立
帯広市,帯広緑陽高校,公立
帯広市,帯広工業高校,公立
帯広市,帯広農業高校,公立
北見市,北見北斗高校,公立
北見市,北見柏陽高校,公立
北見市,北見緑陵高校,公立
北見市,北見商業高校,公立
北見市,北見工業高校,公立
夕張市,夕張高校,公立
岩見沢市,岩見沢東高校,公立
岩見沢市,岩見沢西高校,公立
岩見沢市,岩見沢農業高校,公立
網走市,網走南ヶ丘高校,公立
網走市,網走桂陽高校,公立
留萌市,留萌高校,公立
苫小牧市,苫小牧東高校,公立
苫小牧市,苫小牧西高校,公立
苫小牧市,苫小牧南高校,公立
苫小牧市,苫小牧工業高校,公立
稚内市,稚内高校,公立
美唄市,美唄尚栄高校,公立
芦別市,芦別高校,公立
江別市,江別高校,公立
江別市,野幌高校,公立
江別市,大麻高校,公立
赤平市,赤平高校,公立
紋別市,紋別高校,公立
士別市,士別翔雲高校,公立
名寄市,名寄高校,公立
三笠市,三笠高校,公立
根室市,根室高校,公立
千歳市,千歳高校,公立
千歳市,千歳北陽高校,公立
滝川市,滝川高校,公立
滝川市,滝川西高校,公立
砂川市,砂川高校,公立
歌志内市,歌志内高校,公立
深川市,深川西高校,公立
深川市,深川東高校,公立
富良野市,富良野高校,公立
富良野市,富良野緑峰高校,公立
登別市,登別青嶺高校,公立
恵庭市,恵庭南高校,公立
恵庭市,恵庭北高校,公立
伊達市,伊達高校,公立
伊達市,伊達緑丘高校,公立
北広島市,北広島高校,公立
北広島市,北広島西高校,公立
石狩市,石狩翔陽高校,公立
北斗市,上磯高校,公立
当別町,当別高校,公立
倶知安町,倶知安高校,公立
余市町,余市紅志高校,公立
岩内町,岩内高校,公立
静内町,静内高校,公立
浦河町,浦河高校,公立
様似町,様似高校,公立
えりも町,えりも高校,公立
新冠町,新冠高校,公立
羽幌町,羽幌高校,公立
中川町,中川高校,公立
遠別町,遠別農業高校,公立
天塩町,天塩高校,公立
美幌町,美幌高校,公立
斜里町,斜里高校,公立
清里町,清里高校,公立
遠軽町,遠軽高校,公立
湧別町,湧別高校,公立
興部町,興部高校,公立
雄武町,雄武高校,公立
中頓別町,中頓別高校,公立
枝幸町,枝幸高校,公立
豊富町,豊富高校,公立
幌延町,幌延高校,公立
猿払村,猿払高校,公立
中標津町,中標津高校,公立
標津町,標津高校,公立
羅臼町,羅臼高校,公立
別海町,別海高校,公立
弟子屈町,弟子屈高校,公立
白糠町,白糠高校,公立
音更町,音更高校,公立
士幌町,士幌高校,公立
鹿追町,鹿追高校,公立
新得町,新得高校,公立
清水町,清水高校,公立
芽室町,芽室高校,公立
中札内村,中札内高校,公立
更別村,更別農業高校,公立
大樹町,大樹高校,公立
広尾町,広尾高校,公立
幕別町,幕別高校,公立
池田町,池田高校,公立
豊頃町,豊頃高校,公立
本別町,本別高校,公立
足寄町,足寄高校,公立
陸別町,陸別高校,公立
浦幌町,浦幌高校,公立
七飯町,七飯高校,公立
鹿部町,鹿部高校,公立
森町,森高校,公立
八雲町,八雲高校,公立
長万部町,長万部高校,公立
江差町,江差高校,公立
上ノ国町,上ノ国高校,公立
厚沢部町,厚沢部高校,公立
乙部町,乙部高校,公立
奥尻町,奥尻高校,公立
今金町,今金高校,公立
せたな町,せたな高校,公立
松前町,松前高校,公立
福島町,福島商業高校,公立
知内町,知内高校,公立
木古内町,木古内高校,公立
鷹栖町,鷹栖高校,公立
東神楽町,東神楽高校,公立
当麻町,当麻高校,公立
比布町,比布高校,公立
愛別町,愛別高校,公立
上川町,上川高校,公立
東川町,東川高校,公立
美瑛町,美瑛高校,公立
上富良野町,上富良野高校,公立
中富良野町,中富良野高校,公立
南富良野町,南富良野高校,公立
占冠村,占冠高校,公立
和寒町,和寒高校,公立
剣淵町,剣淵高校,公立
下川町,下川商業高校,公立
美深町,美深高校,公立
音威子府村,音威子府高校,公立
幌加内町,幌加内高校,公立
増毛町,増毛高校,公立
小平町,小平高校,公立
苫前町,苫前商業高校,公立
初山別村,初山別高校,公立
