進学先都道府県,進学者数,割合(%)
北海道,13800,73.54
東京都,549,2.93
海外,326,1.74
愛知県,291,1.55
神奈川県,290,1.55
青森県,283,1.51
岩手県,229,1.22
埼玉県,219,1.17
大阪府,219,1.17
千葉県,201,1.07
兵庫県,184,0.98
茨城県,179,0.95
静岡県,172,0.92
宮城県,161,0.86
秋田県,129,0.69
沖縄県,109,0.58
新潟県,101,0.54
京都府,101,0.54
栃木県,90,0.48
長野県,85,0.45
福岡県,84,0.45
山形県,82,0.44
奈良県,77,0.41
群馬県,76,0.4
福島県,72,0.38
広島県,66,0.35
石川県,54,0.29
岡山県,54,0.29
山梨県,50,0.27
岐阜県,47,0.25
三重県,44,0.23
富山県,39,0.21
愛媛県,32,0.17
福井県,30,0.16
滋賀県,28,0.15
和歌山県,20,0.11
島根県,20,0.11
香川県,20,0.11
長崎県,20,0.11
熊本県,20,0.11
鹿児島県,20,0.11
山口県,19,0.1
徳島県,18,0.1
宮崎県,15,0.08
鳥取県,13,0.07
大分県,12,0.06
高知県,10,0.05
佐賀県,6,0.03
