年齢,死亡者数
0,530
1,40
2,25
3,22
4,22
5,18
6,18
7,18
8,18
9,18
10,22
11,25
12,30
13,38
14,48
15,70
16,90
17,102
18,112
19,122
20,135
21,145
22,152
23,155
24,160
25,155
26,162
27,168
28,178
29,188
30,195
31,210
32,228
33,245
34,268
35,295
36,322
37,355
38,395
39,445
40,510
41,575
42,650
43,740
44,840
45,955
46,1090
47,1235
48,1400
49,1585
50,1780
51,1995
52,2240
53,2510
54,2805
55,3135
56,3500
57,3895
58,4325
59,4820
60,5380
61,6010
62,6700
63,7495
64,8385
65,9410
66,10565
67,11885
68,13370
69,15050
70,17000
71,19140
72,21620
73,24420
74,27560
75,29220
76,31025
77,32945
78,34990
79,37200
80,39550
81,42055
82,44760
83,47660
84,50765
85,54075
86,56290
87,57450
88,57520
89,56470
90,54280
91,51010
92,46720
93,41610
94,35820
95,29880
96,24430
97,19320
98,14700
99,10580
100,3950
