都道府県,大学名,入学者数,種別
北海道,北海道大学,2500,国立
北海道,北海道教育大学,1200,国立
北海道,小樽商科大学,500,国立
北海道,帯広畜産大学,250,国立
北海道,旭川医科大学,150,国立
北海道,室蘭工業大学,700,国立
北海道,北見工業大学,500,国立
北海道,札幌医科大学,200,公立
北海道,札幌市立大学,400,公立
北海道,公立はこだて未来大学,250,公立
北海道,公立千歳科学技術大学,300,公立
北海道,北海学園大学,3000,私立
北海道,北星学園大学,1200,私立
北海道,藤女子大学,500,私立
北海道,北海道科学大学,1500,私立
北海道,酪農学園大学,800,私立
北海道,北海道医療大学,700,私立
北海道,天使大学,200,私立
北海道,札幌大学,800,私立
北海道,札幌学院大学,700,私立
東京都,東京大学,3000,国立
東京都,東京工業大学,1100,国立
東京都,一橋大学,1000,国立
東京都,東京外国語大学,800,国立
東京都,お茶の水女子大学,500,国立
東京都,東京医科歯科大学,350,国立
東京都,東京農工大学,900,国立
東京都,電気通信大学,800,国立
東京都,東京海洋大学,450,国立
東京都,東京学芸大学,1100,国立
東京都,首都大学東京,1800,公立
東京都,早稲田大学,9000,私立
東京都,慶應義塾大学,6500,私立
東京都,上智大学,2800,私立
東京都,明治大学,7500,私立
東京都,青山学院大学,4500,私立
東京都,立教大学,4500,私立
東京都,中央大学,6000,私立
東京都,法政大学,6500,私立
東京都,東京理科大学,4000,私立
東京都,日本大学,16000,私立
神奈川県,横浜国立大学,1700,国立
神奈川県,横浜市立大学,900,公立
神奈川県,神奈川大学,4000,私立
神奈川県,関東学院大学,2500,私立
神奈川県,東海大学,4000,私立
神奈川県,桐蔭横浜大学,800,私立
愛知県,名古屋大学,2200,国立
愛知県,名古屋工業大学,950,国立
愛知県,愛知教育大学,900,国立
愛知県,名古屋市立大学,800,公立
愛知県,愛知県立大学,900,公立
愛知県,南山大学,2000,私立
愛知県,中京大学,3500,私立
愛知県,愛知大学,2200,私立
愛知県,名城大学,3800,私立
愛知県,愛知学院大学,2800,私立
大阪府,大阪大学,3400,国立
大阪府,大阪教育大学,1000,国立
大阪府,大阪公立大学,2800,公立
大阪府,関西大学,6500,私立
大阪府,近畿大学,7500,私立
大阪府,関西外国語大学,2800,私立
大阪府,摂南大学,2200,私立
大阪府,大阪経済大学,2000,私立
京都府,京都大学,2900,国立
京都府,京都工芸繊維大学,650,国立
京都府,京都教育大学,400,国立
京都府,京都府立大学,400,公立
京都府,同志社大学,6300,私立
京都府,立命館大学,7500,私立
京都府,龍谷大学,5000,私立
京都府,京都産業大学,3200,私立
兵庫県,神戸大学,2700,国立
兵庫県,兵庫教育大学,400,国立
兵庫県,兵庫県立大学,1400,公立
兵庫県,神戸市外国語大学,450,公立
兵庫県,関西学院大学,5500,私立
兵庫県,甲南大学,2200,私立
兵庫県,神戸学院大学,2500,私立
福岡県,九州大学,2700,国立
福岡県,九州工業大学,1100,国立
福岡県,福岡教育大学,650,国立
福岡県,北九州市立大学,1400,公立
福岡県,福岡県立大学,400,公立
福岡県,西南学院大学,2000,私立
福岡県,福岡大学,5000,私立
福岡県,久留米大学,1500,私立
宮城県,東北大学,2500,国立
宮城県,宮城教育大学,400,国立
宮城県,宮城大学,400,公立
宮城県,東北学院大学,3000,私立
宮城県,東北福祉大学,1500,私立
広島県,広島大学,2400,国立
広島県,広島市立大学,450,公立
広島県,県立広島大学,600,公立
広島県,広島修道大学,2000,私立
広島県,広島経済大学,1200,私立
岡山県,岡山大学,2100,国立
岡山県,岡山県立大学,400,公立
岡山県,岡山理科大学,2000,私立
岡山県,就実大学,800,私立
青森県,弘前大学,1200,国立
青森県,青森公立大学,350,公立
青森県,青森中央学院大学,300,私立
岩手県,岩手大学,1100,国立
岩手県,岩手県立大学,600,公立
岩手県,盛岡大学,400,私立
秋田県,秋田大学,1000,国立
秋田県,秋田県立大学,450,公立
秋田県,国際教養大学,175,公立
山形県,山形大学,1700,国立
山形県,東北芸術工科大学,650,私立
福島県,福島大学,1100,国立
福島県,会津大学,240,公立
福島県,福島県立医科大学,250,公立
茨城県,筑波大学,2400,国立
茨城県,茨城大学,1700,国立
茨城県,茨城県立医療大学,200,公立
茨城県,常磐大学,800,私立
栃木県,宇都宮大学,1000,国立
栃木県,白鷗大学,1200,私立
栃木県,作新学院大学,400,私立
群馬県,群馬大学,1300,国立
群馬県,高崎経済大学,1000,公立
群馬県,前橋工科大学,250,公立
埼玉県,埼玉大学,1800,国立
埼玉県,埼玉県立大学,400,公立
埼玉県,獨協大学,2200,私立
埼玉県,東洋大学,6500,私立
埼玉県,文教大学,2000,私立
千葉県,千葉大学,2500,国立
千葉県,千葉県立保健医療大学,150,公立
千葉県,神田外語大学,1000,私立
千葉県,千葉工業大学,3000,私立
千葉県,千葉商科大学,1200,私立
新潟県,新潟大学,2200,国立
新潟県,長岡技術科学大学,500,国立
新潟県,新潟県立大学,300,公立
新潟県,新潟国際情報大学,300,私立
長野県,信州大学,2000,国立
長野県,長野県立大学,250,公立
長野県,長野大学,300,公立
長野県,松本大学,550,私立
山梨県,山梨大学,900,国立
山梨県,山梨県立大学,300,公立
