市町村,進学率
夕張市,100.0
岩見沢市,99.14
美唄市,100.0
芦別市,96.97
赤平市,100.0
三笠市,100.0
滝川市,99.27
砂川市,99.16
深川市,99.14
南幌町,97.22
奈井江町,96.67
上砂川町,100.0
由仁町,100.0
長沼町,100.0
栗山町,100.0
月形町,100.0
浦臼町,100.0
新十津川町,94.44
妹背牛町,100.0
秩父別町,100.0
雨竜町,100.0
北竜町,100.0
沼田町,100.0
札幌市,98.35
江別市,99.32
千歳市,97.84
恵庭市,98.25
北広島市,99.65
石狩市,98.95
当別町,94.34
新篠津村,100.0
小樽市,98.07
島牧村,100.0
寿都町,100.0
黒松内町,100.0
蘭越町,100.0
ニセコ町,97.06
真狩村,100.0
留寿都村,100.0
喜茂別町,100.0
京極町,100.0
倶知安町,100.0
共和町,97.22
岩内町,100.0
泊村,100.0
神恵内村,100.0
積丹町,100.0
古平町,100.0
仁木町,100.0
余市町,99.22
赤井川村,92.31
室蘭市,98.41
苫小牧市,96.5
登別市,99.07
伊達市,99.63
豊浦町,75.0
壮瞥町,100.0
白老町,90.36
厚真町,100.0
洞爺湖町,96.0
安平町,95.0
むかわ町,100.0
日高町,100.0
平取町,96.97
新冠町,97.92
浦河町,97.03
様似町,100.0
えりも町,97.44
新ひだか町,98.68
函館市,98.83
北斗市,97.54
松前町,100.0
福島町,100.0
知内町,100.0
木古内町,100.0
七飯町,98.13
鹿部町,100.0
森町,96.26
八雲町,99.13
長万部町,100.0
江差町,100.0
上ノ国町,100.0
厚沢部町,95.24
乙部町,93.75
奥尻町,100.0
今金町,100.0
せたな町,100.0
旭川市,98.64
士別市,100.0
名寄市,100.0
富良野市,98.09
鷹栖町,100.0
東神楽町,98.08
当麻町,96.0
愛別町,100.0
上川町,100.0
東川町,100.0
美瑛町,100.0
上富良野町,100.0
中富良野町,100.0
南富良野町,100.0
占冠村,88.89
和寒町,96.3
剣淵町,100.0
下川町,100.0
美深町,100.0
音威子府村,100.0
中川町,88.89
幌加内町,100.0
留萌市,100.0
増毛町,95.83
小平町,100.0
苫前町,100.0
羽幌町,100.0
初山別村,100.0
遠別町,100.0
天塩町,100.0
稚内市,98.7
猿払村,100.0
浜頓別町,100.0
中頓別町,100.0
枝幸町,100.0
豊富町,100.0
礼文町,96.0
利尻町,100.0
利尻富士町,100.0
幌延町,100.0
北見市,93.33
網走市,98.83
紋別市,97.69
美幌町,97.28
津別町,100.0
斜里町,100.0
清里町,100.0
小清水町,100.0
訓子府町,96.88
置戸町,100.0
佐呂間町,97.62
遠軽町,100.0
湧別町,100.0
滝上町,100.0
興部町,100.0
西興部村,100.0
雄武町,96.67
大空町,98.63
帯広市,98.44
音更町,99.58
士幌町,100.0
上士幌町,100.0
鹿追町,98.04
新得町,100.0
清水町,98.61
芽室町,99.49
中札内村,100.0
更別村,100.0
大樹町,100.0
広尾町,94.44
幕別町,99.15
池田町,96.88
豊頃町,95.24
本別町,100.0
足寄町,98.0
陸別町,100.0
浦幌町,91.3
釧路市,98.41
釧路町,99.32
厚岸町,96.43
浜中町,97.37
標茶町,100.0
弟子屈町,96.92
鶴居村,100.0
白糠町,66.67
根室市,98.1
別海町,99.34
中標津町,99.49
標津町,97.37
羅臼町,100.0
default,98.5
