卒業年度,学校種別,卒業者数,求職者数,就職者数,道内就職者数,道外就職者数,就職率,道内就職割合,道外就職割合
2025年3月,大学,19698,15517,14685,8936,5749,94.6,60.9,39.1
2024年3月,大学,20443,16109,14998,8639,6359,93.1,57.6,42.4
2025年3月,短期大学,1332,1019,996,937,59,97.7,94.1,5.9
2024年3月,短期大学,1521,1207,1152,1078,74,95.4,93.6,6.4
2025年3月,高等専門学校,690,434,433,116,317,99.8,26.8,73.2
2024年3月,高等専門学校,705,434,433,126,307,99.8,29.1,70.9
2025年3月,専修学校,8339,7192,6988,5731,1257,97.2,82.0,18.0
2024年3月,専修学校,8502,7429,7170,5931,1239,96.5,82.7,17.3
2025年3月,総計,30059,24162,23102,15720,7382,95.6,68.0,32.0
2024年3月,総計,31171,25179,23753,15774,7979,94.3,66.4,33.6
2023年3月,総計,31419,25238,23755,16139,7616,94.1,67.9,32.1
2022年3月,総計,30544,24237,22760,15575,7185,93.9,68.4,31.6
2021年3月,総計,31000,24785,23240,16303,6937,93.8,70.2,29.8
2020年3月,総計,30935,25106,23992,15983,8009,95.6,66.6,33.4
2019年3月,総計,32793,26465,25358,17396,7962,95.8,68.6,31.4

