市町村,100万円未満,100〜200万円,200〜300万円,300〜400万円,400〜500万円,500〜700万円,700〜1000万円,1000〜1500万円,1500万円以上
七飯町,1600,1800,2400,2600,2200,3200,2400,800,200
三笠市,700,800,1000,900,600,600,400,100,0
中標津町,1200,1400,1800,2000,1600,2200,1600,500,100
伊達市,2400,2800,3200,3200,2400,3000,2000,600,100
佐呂間町,400,400,500,500,400,500,400,100,0
余市町,1200,1400,1600,1600,1200,1400,900,300,100
倶知安町,800,1000,1200,1400,1200,1600,1200,400,100
函館市,16200,18400,21800,20600,14800,17800,10200,3200,800
北広島市,3200,3800,5400,6200,5600,9200,7800,3200,800
北斗市,2400,2800,3600,3800,3200,4600,3200,1000,200
北見市,7200,8200,10200,10400,8200,10800,7200,2400,600
千歳市,4200,5000,7200,8400,7400,11400,8800,3400,800
名寄市,1800,2000,2600,2600,2000,2600,1800,600,100
士別市,1400,1600,1800,1800,1400,1600,1000,300,100
夕張市,800,1000,1200,1000,600,600,300,100,0
大空町,500,500,600,700,500,700,500,200,0
室蘭市,5400,6200,7800,7600,5800,7400,4800,1600,400
富良野市,1400,1600,2000,2000,1600,2000,1400,400,100
小樽市,8800,9600,11200,10400,7200,8800,5200,1600,400
小清水町,300,300,400,400,300,400,300,100,0
岩見沢市,5200,5800,7200,7000,5200,6800,4400,1400,400
帯広市,9200,10400,13200,13600,10800,14800,10200,3800,1000
幕別町,1400,1600,2200,2400,2000,3000,2200,800,200
恵庭市,3400,4000,5600,6400,5600,8800,7000,2800,600
斜里町,700,800,1000,1100,900,1200,800,300,100
旭川市,21200,23800,28200,27800,20800,26200,16200,5400,1400
札幌市中央区,8800,11400,14600,15800,13200,19800,16800,8200,3100
札幌市北区,11600,13500,17200,18200,14800,21500,16200,6800,2100
札幌市南区,4800,5600,7800,8800,7600,12200,10400,4800,1800
札幌市厚別区,4200,5200,7200,8200,7400,11800,9800,4200,1200
札幌市手稲区,4800,5800,8200,9400,8200,13200,10800,4400,1200
札幌市東区,10200,12800,16500,17800,14200,20200,14800,5600,1600
札幌市清田区,2800,3400,5200,6200,5800,10200,9200,4200,1400
札幌市白石区,9500,11200,14800,15600,12400,17800,12600,4800,1400
札幌市西区,8200,9800,13200,14400,12200,18400,14800,6200,2200
札幌市豊平区,8800,10600,14200,15200,12600,18200,14200,5800,1900
根室市,1600,1800,2200,2400,1800,2400,1600,500,100
歌志内市,300,400,400,400,200,200,100,0,0
江別市,6200,7200,9800,10800,9200,14200,11200,4400,1200
津別町,400,400,500,500,400,400,300,100,0
深川市,1600,1800,2000,2000,1400,1600,1000,300,100
清里町,300,300,400,400,300,400,300,100,0
湧別町,500,600,700,800,600,800,500,200,0
滝上町,200,200,300,300,200,200,100,0,0
滝川市,2600,2800,3400,3200,2400,3000,1800,600,100
留萌市,1400,1600,2000,2000,1400,1800,1200,400,100
登別市,3000,3400,4400,4600,3600,5000,3400,1200,300
白老町,1200,1400,1600,1600,1200,1400,900,300,100
石狩市,3200,3800,5000,5600,4600,7200,5600,2000,400
砂川市,1200,1400,1600,1600,1200,1400,1000,300,100
稚内市,2000,2400,3000,3200,2400,3200,2200,800,200
紋別市,1600,1800,2200,2200,1600,2000,1400,400,100
網走市,2200,2600,3200,3400,2600,3600,2400,800,200
置戸町,200,200,300,300,200,200,100,0,0
美唄市,1800,2000,2400,2200,1600,1800,1000,300,100
美幌町,1200,1400,1800,1800,1400,1800,1200,400,100
興部町,300,300,400,400,300,400,300,100,0
芦別市,1200,1400,1600,1400,1000,1000,600,200,0
苫小牧市,8400,9800,13200,14200,11400,15800,10800,3600,800
西興部村,100,100,100,100,100,100,100,0,0
訓子府町,300,300,400,400,300,400,300,100,0
赤平市,800,1000,1200,1000,700,700,400,100,0
遠軽町,1200,1400,1600,1800,1400,1800,1200,400,100
釧路市,10800,12200,14800,14200,10600,13400,8200,2800,600
雄武町,300,300,400,400,300,400,300,100,0
音更町,2400,2800,3800,4200,3600,5400,4000,1400,300
北海道（デフォルト）,160600,196800,268400,285200,228600,340800,248200,95400,26800
