令和５年,人口動態統計,,
保管統計表　離婚　第６表　離婚件数，離婚の種類・同居期間・夫妻が親権を行う子の数別
 注：親権を行う子（親が離婚した未成年の子）とは、令和４年３月までは20歳未満の未婚の子、令和４年４月以降は18歳未満の子をいう。
,,夫妻総数,０人,１人,２人,３人,４人,５人,６人,７人,８人,９人,１０人以上
総　　数,総　　数,183814,89327,45640,34291,11430,2415,541,118,38,10,3,1
,５年未満,52788,26757,17717,6438,1397,331,109,28,8,2,1,-
,　１年未満,8814,5549,2616,468,119,41,18,2,1,-,-,-
,　１～２年,10888,5875,3982,753,201,55,12,9,1,-,-,-
,　２～３年,11402,5725,4058,1239,276,73,22,7,1,-,1,-
,　３～４年,11401,5289,3839,1834,328,76,26,7,1,1,-,-
,　４～５年,10283,4319,3222,2144,473,86,31,3,4,1,-,-
,５～１０年,34605,11528,9111,10074,3113,631,115,25,6,1,-,1
,１０～１５年,22916,6016,4924,7774,3338,698,131,24,7,4,-,-
,１５～２０年,19379,5395,4754,6101,2464,505,120,27,13,-,-,-
,２０～２５年,16460,9691,4704,1643,345,51,20,2,2,1,1,-
,２５～３０年,11001,9769,1017,173,35,6,1,-,-,-,-,-
,３０～３５年,5522,5394,114,10,2,1,1,-,-,-,-,-
,３５年以上　　,6827,6805,19,1,2,-,-,-,-,-,-,-
,不　　詳,14316,7972,3280,2077,734,192,44,12,2,2,1,-
協議離婚,総　　数,161178,81473,38032,28977,9858,2170,507,110,37,10,3,1
,５年未満,46896,25332,14414,5444,1252,310,106,27,8,2,1,-
,　１年未満,7790,5209,2005,407,109,39,18,2,1,-,-,-
,　１～２年,9643,5539,3217,634,181,50,12,9,1,-,-,-
,　２～３年,10110,5427,3294,1036,254,70,21,6,1,-,1,-
,　３～４年,10177,5044,3205,1530,289,74,26,7,1,1,-,-
,　４～５年,9176,4113,2693,1837,419,77,29,3,4,1,-,-
,５～１０年,30403,10889,7678,8444,2686,574,103,21,6,1,-,1
,１０～１５年,19801,5516,4207,6496,2817,617,117,21,6,4,-,-
,１５～２０年,16796,4714,4049,5296,2133,448,116,27,13,-,-,-
,２０～２５年,14470,8521,4116,1451,312,44,20,2,2,1,1,-
,２５～３０年,9682,8585,904,159,28,5,1,-,-,-,-,-
,３０～３５年,4882,4768,101,9,2,1,1,-,-,-,-,-
,３５年以上　　,6090,6069,18,1,2,-,-,-,-,-,-,-
,不　　詳,12158,7079,2545,1677,626,171,43,12,2,2,1,-
調停離婚,総　　数,13943,4357,4870,3496,1028,166,21,5,-,-,-,-
,５年未満,3599,816,2069,604,90,16,3,1,-,-,-,-
,　１年未満,580,179,359,36,6,-,-,-,-,-,-,-
,　１～２年,770,195,486,69,15,5,-,-,-,-,-,-
,　２～３年,781,181,459,122,15,2,1,1,-,-,-,-
,　３～４年,761,140,417,183,19,2,-,-,-,-,-,-
,　４～５年,707,121,348,194,35,7,2,-,-,-,-,-
,５～１０年,2647,359,919,1065,251,40,10,3,-,-,-,-
,１０～１５年,1939,245,456,850,330,50,7,1,-,-,-,-
,１５～２０年,1642,334,457,562,251,37,1,-,-,-,-,-
,２０～２５年,1261,660,422,147,27,5,-,-,-,-,-,-
,２５～３０年,817,722,80,10,4,1,-,-,-,-,-,-
,３０～３５年,379,370,9,-,-,-,-,-,-,-,-,-
,３５年以上　　,405,405,-,-,-,-,-,-,-,-,-,-
,不　　詳,1254,446,458,258,75,17,-,-,-,-,-,-
審判離婚,総　　数,4079,1416,1445,903,267,41,4,2,1,-,-,-
,５年未満,1312,300,751,223,34,4,-,-,-,-,-,-
,　１年未満,238,69,152,13,3,1,-,-,-,-,-,-
,　１～２年,286,70,180,33,3,-,-,-,-,-,-,-
,　２～３年,288,67,170,44,6,1,-,-,-,-,-,-
,　３～４年,276,53,146,66,11,-,-,-,-,-,-,-
,　４～５年,224,41,103,67,11,2,-,-,-,-,-,-
,５～１０年,748,126,248,278,85,9,1,1,-,-,-,-
,１０～１５年,534,113,110,196,98,13,2,1,1,-,-,-
,１５～２０年,397,129,98,121,35,13,1,-,-,-,-,-
,２０～２５年,296,199,76,21,-,-,-,-,-,-,-,-
,２５～３０年,204,186,15,1,2,-,-,-,-,-,-,-
,３０～３５年,98,96,2,-,-,-,-,-,-,-,-,-
,３５年以上　　,105,105,-,-,-,-,-,-,-,-,-,-
,不　　詳,385,162,145,63,13,2,-,-,-,-,-,-
和解離婚,総　　数,2529,1145,692,526,139,23,3,1,-,-,-,-
,５年未満,447,139,223,79,6,-,-,-,-,-,-,-
,　１年未満,81,36,40,5,-,-,-,-,-,-,-,-
,　１～２年,84,30,43,9,2,-,-,-,-,-,-,-
,　２～３年,106,25,64,17,-,-,-,-,-,-,-,-
,　３～４年,95,29,38,26,2,-,-,-,-,-,-,-
,　４～５年,81,19,38,22,2,-,-,-,-,-,-,-
,５～１０年,428,80,149,152,43,4,-,-,-,-,-,-
,１０～１５年,367,66,80,156,49,13,2,1,-,-,-,-
,１５～２０年,350,143,102,76,25,4,-,-,-,-,-,-
,２０～２５年,286,211,57,15,3,-,-,-,-,-,-,-
,２５～３０年,186,172,11,2,1,-,-,-,-,-,-,-
,３０～３５年,103,100,2,1,-,-,-,-,-,-,-,-
,３５年以上　　,115,115,-,-,-,-,-,-,-,-,-,-
