都道府県,大学名,入学者数,偏差値
東京都,東京大学,3062,70
東京都,早稲田大学,9450,67
東京都,慶應義塾大学,6580,67
東京都,上智大学,2800,65
東京都,東京理科大学,4100,62
東京都,明治大学,7890,62
東京都,青山学院大学,4500,62
東京都,立教大学,4650,62
東京都,中央大学,6120,60
東京都,法政大学,6780,60
東京都,学習院大学,2050,60
東京都,成蹊大学,1980,58
東京都,成城大学,1650,58
東京都,明治学院大学,2800,57
東京都,武蔵大学,1200,57
東京都,國學院大學,2650,55
東京都,東洋大学,7050,55
東京都,獨協大学,2400,55
東京都,駒澤大学,4200,53
東京都,専修大学,4350,53
東京都,日本大学,16200,52
東京都,東海大学,3800,50
東京都,亜細亜大学,2800,50
東京都,帝京大学,6500,48
東京都,国士舘大学,3200,48
東京都,大東文化大学,3400,47
東京都,拓殖大学,2100,47
東京都,東京電機大学,2400,55
東京都,芝浦工業大学,2200,57
東京都,工学院大学,1450,52
東京都,東京都市大学,1800,55
東京都,東京農業大学,2600,52
東京都,東京女子大学,950,57
東京都,日本女子大学,1500,57
東京都,津田塾大学,680,60
東京都,東京工業大学,1150,68
東京都,一橋大学,1050,68
東京都,お茶の水女子大学,520,65
東京都,東京外国語大学,880,65
東京都,東京学芸大学,1150,60
東京都,東京藝術大学,250,65
東京都,東京医科歯科大学,180,70
東京都,首都大学東京,1680,60
神奈川県,横浜国立大学,1850,62
神奈川県,慶應義塾大学（SFC）,1200,65
神奈川県,神奈川大学,4200,50
神奈川県,関東学院大学,2800,45
神奈川県,横浜市立大学,980,60
神奈川県,東海大学（湘南）,2400,50
神奈川県,桐蔭横浜大学,1200,45
神奈川県,フェリス女学院大学,520,52
埼玉県,埼玉大学,1850,57
埼玉県,獨協大学,2400,55
埼玉県,文教大学,2100,52
埼玉県,立正大学,2800,48
埼玉県,東京国際大学,1650,45
埼玉県,城西大学,1480,45
千葉県,千葉大学,2650,60
千葉県,東京理科大学（野田）,1200,60
千葉県,神田外語大学,1050,52
千葉県,千葉工業大学,2800,48
千葉県,麗澤大学,780,48
千葉県,和洋女子大学,580,45
北海道,北海道大学,2650,65
北海道,小樽商科大学,520,57
北海道,北海学園大学,2400,48
京都府,京都大学,2880,70
京都府,同志社大学,6200,62
京都府,立命館大学,7600,58
大阪府,大阪大学,3450,67
大阪府,関西大学,6500,57
大阪府,近畿大学,7200,52
